6 1
12 6
24 12
48 24
96 48
192 96
384 192
768 384
1536 768
3072 1536
6144 3072
12288 6144
24576 12288
49152 24576
98304 49152
196608 98304
393216 196608
786432 393216
1572864 786432
3145728 1572864
6291456 3145728
12582912 6291456
25165824 12582912
50331648 25165824
100663296 50331648
201326592 100663296
402653184 201326592
805306368 402653184
1610612736 805306368
3221225472 1610612736
6442450944 3221225472
12884901888 6442450944
25769803776 12884901888
51539607552 25769803776
103079215104 51539607552
206158430208 103079215104
412316860416 206158430208
824633720832 412316860416
1649267441664 824633720832
3298534883328 1649267441664
6597069766656 3298534883328
13194139533312 6597069766656
26388279066624 13194139533312
52776558133248 26388279066624
105553116266496 52776558133248
211106232532992 105553116266496
422212465065984 211106232532992
844424930131968 422212465065984
1688849860263936 844424930131968
3377699720527872 1688849860263936
6755399441055744 3377699720527872
13510798882111488 6755399441055744
27021597764222976 13510798882111488
54043195528445952 27021597764222976
108086391056891904 54043195528445952
216172782113783808 108086391056891904
432345564227567616 216172782113783808
864691128455135232 432345564227567616
1729382256910270464 864691128455135232
3458764513820540928 1729382256910270464
6917529027641081856 3458764513820540928
13835058055282163712 6917529027641081856
27670116110564327424 13835058055282163712
55340232221128654848 27670116110564327424
110680464442257309696 55340232221128654848
221360928884514619392 110680464442257309696
442721857769029238784 221360928884514619392
885443715538058477568 442721857769029238784
1770887431076116955136 885443715538058477568
3541774862152233910272 1770887431076116955136
7083549724304467820544 3541774862152233910272
14167099448608935641088 7083549724304467820544
28334198897217871282176 14167099448608935641088
56668397794435742564352 28334198897217871282176
113336795588871485128704 56668397794435742564352
226673591177742970257408 113336795588871485128704
453347182355485940514816 226673591177742970257408
906694364710971881029632 453347182355485940514816
1813388729421943762059264 906694364710971881029632
3626777458843887524118528 1813388729421943762059264
7253554917687775048237056 3626777458843887524118528
14507109835375550096474112 7253554917687775048237056
29014219670751100192948224 14507109835375550096474112
58028439341502200385896448 29014219670751100192948224
116056878683004400771792896 58028439341502200385896448
232113757366008801543585792 116056878683004400771792896
464227514732017603087171584 232113757366008801543585792
928455029464035206174343168 464227514732017603087171584
1856910058928070412348686336 928455029464035206174343168
3713820117856140824697372672 1856910058928070412348686336
7427640235712281649394745344 3713820117856140824697372672
14855280471424563298789490688 7427640235712281649394745344
29710560942849126597578981376 14855280471424563298789490688
59421121885698253195157962752 29710560942849126597578981376
118842243771396506390315925504 59421121885698253195157962752
237684487542793012780631851008 118842243771396506390315925504
475368975085586025561263702016 237684487542793012780631851008
950737950171172051122527404032 475368975085586025561263702016
1901475900342344102245054808064 950737950171172051122527404032
3802951800684688204490109616128 1901475900342344102245054808064
7605903601369376408980219232256 3802951800684688204490109616128
15211807202738752817960438464512 7605903601369376408980219232256
30423614405477505635920876929024 15211807202738752817960438464512
60847228810955011271841753858048 30423614405477505635920876929024
121694457621910022543683507716096 60847228810955011271841753858048
243388915243820045087367015432192 121694457621910022543683507716096
486777830487640090174734030864384 243388915243820045087367015432192
973555660975280180349468061728768 486777830487640090174734030864384
1947111321950560360698936123457536 973555660975280180349468061728768
3894222643901120721397872246915072 1947111321950560360698936123457536
7788445287802241442795744493830144 3894222643901120721397872246915072
15576890575604482885591488987660288 7788445287802241442795744493830144
31153781151208965771182977975320576 15576890575604482885591488987660288
62307562302417931542365955950641152 31153781151208965771182977975320576
124615124604835863084731911901282304 62307562302417931542365955950641152
249230249209671726169463823802564608 124615124604835863084731911901282304
498460498419343452338927647605129216 249230249209671726169463823802564608
996920996838686904677855295210258432 498460498419343452338927647605129216
1993841993677373809355710590420516864 996920996838686904677855295210258432
3987683987354747618711421180841033728 1993841993677373809355710590420516864
7975367974709495237422842361682067456 3987683987354747618711421180841033728
15950735949418990474845684723364134912 7975367974709495237422842361682067456
31901471898837980949691369446728269824 15950735949418990474845684723364134912
63802943797675961899382738893456539648 31901471898837980949691369446728269824
127605887595351923798765477786913079296 63802943797675961899382738893456539648
255211775190703847597530955573826158592 127605887595351923798765477786913079296
510423550381407695195061911147652317184 255211775190703847597530955573826158592
1020847100762815390390123822295304634368 510423550381407695195061911147652317184
2041694201525630780780247644590609268736 1020847100762815390390123822295304634368
4083388403051261561560495289181218537472 2041694201525630780780247644590609268736
8166776806102523123120990578362437074944 4083388403051261561560495289181218537472
16333553612205046246241981156724874149888 8166776806102523123120990578362437074944
32667107224410092492483962313449748299776 16333553612205046246241981156724874149888
65334214448820184984967924626899496599552 32667107224410092492483962313449748299776
130668428897640369969935849253798993199104 65334214448820184984967924626899496599552
